               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.039432,            0.011135,            0.021436,             0.87914,             0.73583,             0.81954,              0.4748,            0.032092,           0.0052634,            0.013711,            0.008812,            0.008812,            0.008812
                  62,            0.035877,            0.010784,             0.01935,             0.85935,                0.82,             0.91924,             0.51855,            0.024978,           0.0051612,            0.012623,           0.0087922,           0.0087922,           0.0087922
                  63,            0.035345,           0.0096867,            0.018685,             0.92612,             0.88889,             0.93232,             0.49611,            0.025237,           0.0053258,            0.010515,           0.0087724,           0.0087724,           0.0087724
                  64,            0.038825,            0.011564,            0.018116,             0.91675,             0.94772,             0.96478,             0.60423,            0.018662,           0.0051237,            0.009554,           0.0087526,           0.0087526,           0.0087526
                  65,            0.036786,           0.0081889,            0.019985,             0.65501,             0.69156,             0.75265,             0.25047,            0.040135,           0.0055594,            0.009246,           0.0087328,           0.0087328,           0.0087328
                  66,             0.04866,             0.01091,            0.018916,             0.92369,             0.90539,             0.95586,             0.59297,            0.023247,           0.0049861,           0.0093262,            0.008713,            0.008713,            0.008713
                  67,            0.039376,           0.0076723,            0.016483,             0.88168,             0.90456,             0.95646,             0.41333,            0.024774,           0.0052861,           0.0089979,           0.0086932,           0.0086932,           0.0086932
                  68,            0.038715,            0.011093,            0.020852,             0.81839,             0.86924,             0.97312,             0.61124,            0.025587,           0.0052385,           0.0091746,           0.0086734,           0.0086734,           0.0086734
                  69,            0.041063,            0.010764,            0.017735,             0.77914,             0.88292,             0.92258,             0.40551,            0.023515,           0.0050591,            0.008621,           0.0086536,           0.0086536,           0.0086536
                  70,            0.035472,           0.0095888,             0.01532,             0.79379,                 0.9,             0.96042,              0.5061,            0.028694,            0.005064,           0.0081816,           0.0086338,           0.0086338,           0.0086338
                  71,            0.043932,           0.0094928,            0.014948,             0.89905,                0.94,             0.96584,             0.54012,            0.024782,           0.0049523,           0.0080041,            0.008614,            0.008614,            0.008614
                  72,            0.031005,           0.0085421,            0.016324,             0.65735,             0.93101,             0.85763,             0.54295,            0.026751,           0.0049851,           0.0077698,           0.0085942,           0.0085942,           0.0085942
                  73,            0.043396,            0.010505,            0.016075,             0.97235,             0.97892,             0.98327,               0.663,            0.018843,            0.004714,           0.0071529,           0.0085744,           0.0085744,           0.0085744
                  74,            0.034742,            0.012452,            0.016034,             0.76549,                0.96,             0.87143,               0.422,             0.02819,           0.0051742,           0.0070516,           0.0085546,           0.0085546,           0.0085546
                  75,            0.041828,           0.0092167,            0.023176,             0.89017,                0.96,             0.95944,             0.46383,            0.022014,            0.004807,           0.0071319,           0.0085348,           0.0085348,           0.0085348
                  76,            0.034152,           0.0097437,            0.015847,              0.9249,                0.96,             0.97089,             0.66916,            0.018762,            0.004595,           0.0073321,            0.008515,            0.008515,            0.008515
                  77,            0.032192,           0.0095825,            0.013637,             0.95556,                0.96,             0.98038,             0.55898,            0.024183,           0.0048028,            0.008039,           0.0084952,           0.0084952,           0.0084952
                  78,            0.032519,           0.0082747,            0.013662,             0.96787,             0.97664,              0.9779,             0.53237,            0.024415,           0.0047764,           0.0072267,           0.0084754,           0.0084754,           0.0084754
                  79,            0.035215,            0.011899,              0.0125,             0.96502,             0.97706,             0.98274,             0.62355,            0.018955,           0.0046208,           0.0077374,           0.0084556,           0.0084556,           0.0084556
                  80,            0.035588,            0.010557,            0.022335,             0.87622,                0.98,             0.98005,             0.52166,            0.025795,           0.0047368,           0.0069795,           0.0084358,           0.0084358,           0.0084358
                  81,            0.036458,             0.01097,            0.016207,             0.97648,                0.98,             0.98082,             0.57386,            0.019908,           0.0045324,           0.0067809,            0.008416,            0.008416,            0.008416
                  82,            0.026909,           0.0082574,            0.013671,             0.75108,                0.98,             0.81114,              0.5173,            0.022977,           0.0047153,           0.0066536,           0.0083962,           0.0083962,           0.0083962
                  83,            0.038477,           0.0082466,            0.012673,             0.92522,                0.98,             0.97539,             0.56112,            0.025107,           0.0046528,           0.0063666,           0.0083764,           0.0083764,           0.0083764
                  84,            0.035115,           0.0089718,            0.016883,             0.91572,             0.96084,              0.9722,             0.70567,             0.02009,           0.0045648,           0.0065644,           0.0083566,           0.0083566,           0.0083566
                  85,            0.032296,           0.0093425,             0.01636,             0.82332,             0.89123,              0.9193,             0.53744,            0.023967,           0.0047736,           0.0098248,           0.0083368,           0.0083368,           0.0083368
                  86,            0.030678,           0.0078677,            0.012652,             0.90307,             0.91244,             0.97116,             0.61731,            0.019745,           0.0047612,           0.0093287,            0.008317,            0.008317,            0.008317
                  87,            0.031142,           0.0098734,            0.014756,             0.88765,             0.93356,             0.97698,             0.67064,            0.018022,           0.0045473,           0.0088958,           0.0082972,           0.0082972,           0.0082972
                  88,            0.034518,            0.009681,            0.016983,             0.72331,                0.86,             0.92391,             0.45365,            0.027945,           0.0049513,            0.010661,           0.0082774,           0.0082774,           0.0082774
                  89,            0.040012,           0.0095446,             0.01251,             0.84159,             0.91186,             0.97254,             0.69153,            0.017886,           0.0048307,            0.010113,           0.0082576,           0.0082576,           0.0082576
                  90,            0.030692,           0.0083824,             0.01514,              0.7359,                 0.9,             0.91652,             0.64446,            0.022285,           0.0046484,           0.0088034,           0.0082378,           0.0082378,           0.0082378
                  91,            0.031957,           0.0089356,            0.019683,             0.88159,             0.92061,             0.96943,             0.63848,            0.019868,           0.0046605,             0.01018,            0.008218,            0.008218,            0.008218
                  92,            0.033282,            0.010769,            0.013612,             0.68082,             0.92507,              0.9461,             0.63328,            0.017469,            0.004603,            0.011561,           0.0081982,           0.0081982,           0.0081982
                  93,            0.033973,           0.0082446,            0.011572,             0.73709,             0.91124,             0.94664,             0.55834,            0.020429,           0.0048451,            0.013816,           0.0081784,           0.0081784,           0.0081784
                  94,            0.031756,            0.010115,            0.013341,             0.90663,             0.79619,             0.96688,             0.73795,            0.019042,           0.0046515,            0.010094,           0.0081586,           0.0081586,           0.0081586
                  95,              0.0335,           0.0087281,            0.013072,             0.89139,             0.92419,             0.97597,             0.59723,            0.019385,           0.0044815,           0.0083065,           0.0081388,           0.0081388,           0.0081388
                  96,            0.031492,             0.01089,            0.012179,              0.9224,             0.89672,             0.96057,             0.69152,            0.015669,           0.0043673,           0.0091779,            0.008119,            0.008119,            0.008119
                  97,            0.035073,           0.0090143,            0.011902,             0.92556,             0.93629,             0.97701,             0.57761,            0.017749,           0.0043373,           0.0084597,           0.0080992,           0.0080992,           0.0080992
